,InterestingEventTime,EventDescription,currentThreadID,BotNumber
4669,2022-04-29 00:00:00.847400, Dynamic Status,38,2431
4670,2022-04-29 00:00:02.853600, Dynamic Status,38,2431
4671,2022-04-29 00:00:04.854800, Dynamic Status,38,2431
4672,2022-04-29 00:00:06.850000, Dynamic Status,38,2431
4673,2022-04-29 00:00:08.857200, Dynamic Status,38,2431
4674,2022-04-29 00:00:10.863400, Dynamic Status,38,2431
4675,2022-04-29 00:00:12.867600, Dynamic Status,38,2431
4676,2022-04-29 00:00:14.864800, Dynamic Status,38,2431
4677,2022-04-29 00:00:16.869000, Dynamic Status,38,2431
4678,2022-04-29 00:00:18.871200, Dynamic Status,38,2431
4679,2022-04-29 00:00:20.875400, Dynamic Status,38,2431
4680,2022-04-29 00:00:22.875600, Dynamic Status,38,2431
4681,2022-04-29 00:00:24.878800, Dynamic Status,38,2431
4682,2022-04-29 00:00:26.881000, Dynamic Status,38,2431
4683,2022-04-29 00:00:28.875200, Dynamic Status,38,2431
4684,2022-04-29 00:00:30.884400, Dynamic Status,38,2431
4685,2022-04-29 00:00:32.887600, Dynamic Status,38,2431
4686,2022-04-29 00:00:34.888800, Dynamic Status,38,2431
4687,2022-04-29 00:00:36.891000, Dynamic Status,38,2431
4688,2022-04-29 00:00:38.898200, Dynamic Status,38,2431
4689,2022-04-29 00:00:40.891400, Dynamic Status,38,2431
4690,2022-04-29 00:00:42.892600, Dynamic Status,38,2431
4691,2022-04-29 00:00:44.903800, Dynamic Status,38,2431
4692,2022-04-29 00:00:46.896000, Dynamic Status,38,2431
4693,2022-04-29 00:00:48.905200, Dynamic Status,38,2431
4694,2022-04-29 00:00:50.910400, Dynamic Status,38,2431
4695,2022-04-29 00:00:52.906600, Dynamic Status,38,2431
4696,2022-04-29 00:00:54.911800, Dynamic Status,38,2431
4697,2022-04-29 00:00:56.941000, Dynamic Status,38,2431
4698,2022-04-29 00:00:58.919200, Dynamic Status,38,2431
4699,2022-04-29 00:01:00.911400, Dynamic Status,38,2431
4700,2022-04-29 00:01:02.916600, Dynamic Status,38,2431
4701,2022-04-29 00:01:04.918800, Dynamic Status,38,2431
4702,2022-04-29 00:01:06.928000, Dynamic Status,38,2431
4703,2022-04-29 00:01:08.930200, Dynamic Status,38,2431
4704,2022-04-29 00:01:10.932400, Dynamic Status,38,2431
4705,2022-04-29 00:01:12.939600, Dynamic Status,38,2431
4706,2022-04-29 00:01:14.929800, Dynamic Status,38,2431
4707,2022-04-29 00:01:16.933000, Dynamic Status,38,2431
4708,2022-04-29 00:01:18.942200, Dynamic Status,38,2431
4709,2022-04-29 00:01:20.945400, Dynamic Status,38,2431
4710,2022-04-29 00:01:22.938600, Dynamic Status,38,2431
4711,2022-04-29 00:01:24.941800, Dynamic Status,38,2431
4712,2022-04-29 00:01:26.951000, Dynamic Status,38,2431
4713,2022-04-29 00:01:28.950200, Dynamic Status,38,2431
4714,2022-04-29 00:01:30.956400, Dynamic Status,38,2431
4715,2022-04-29 00:01:32.959600, Dynamic Status,38,2431
4716,2022-04-29 00:01:34.953800, Dynamic Status,38,2431
4717,2022-04-29 00:01:36.963000, Dynamic Status,38,2431
4718,2022-04-29 00:01:38.965200, Dynamic Status,38,2431
4719,2022-04-29 00:01:40.969400, Dynamic Status,38,2431
4720,2022-04-29 00:01:42.965600, Dynamic Status,38,2431
4721,2022-04-29 00:01:44.971800, Dynamic Status,38,2431
4722,2022-04-29 00:01:46.975000, Dynamic Status,38,2431
4723,2022-04-29 00:01:48.978200, Dynamic Status,38,2431
4724,2022-04-29 00:01:50.980400, Dynamic Status,38,2431
4725,2022-04-29 00:01:52.980600, Dynamic Status,38,2431
4726,2022-04-29 00:01:54.983800, Dynamic Status,38,2431
4727,2022-04-29 00:01:56.988000, Dynamic Status,38,2431
4728,2022-04-29 00:01:58.990200, Dynamic Status,38,2431
4729,2022-04-29 00:02:00.990400, Dynamic Status,38,2431
4730,2022-04-29 00:02:02.994600, Dynamic Status,38,2431
4731,2022-04-29 00:02:04.996800, Dynamic Status,38,2431
4732,2022-04-29 00:02:06.991000, Dynamic Status,38,2431
4733,2022-04-29 00:02:09.000200, Dynamic Status,38,2431
4734,2022-04-29 00:02:11.003400, Dynamic Status,38,2431
4735,2022-04-29 00:02:13.006600, Dynamic Status,38,2431
4736,2022-04-29 00:02:15.000800, Dynamic Status,38,2431
4737,2022-04-29 00:02:17.013000, Dynamic Status,38,2431
4738,2022-04-29 00:02:19.013200, Dynamic Status,38,2431
