,InterestingEventTime,LastHealthyMoment,EventDescription,currentThreadID,BotNumber,RhythmTime,Health
0,2022-04-29 00:00:00.099300,2022-04-29 00:00:00.099300, Dynamic Status,10,2489,2,Healthy
1,2022-04-29 00:00:02.096500,2022-04-29 00:01:44.396700, Dynamic Status,10,2489,2,healthy
2,2022-04-29 00:01:45.207800,2022-04-29 00:01:48.273100, Initialize : Cmd 1005918 : Response,10,2489,2,tachycardia
3,2022-04-29 00:01:51.106400,2022-04-29 00:01:51.106400, Dynamic Status,10,2489,2,arrhythmia
4,2022-04-29 00:01:51.309400,2022-04-29 00:01:51.310400, Dynamic Status,10,2489,2,tachycardia
5,2022-04-29 00:01:52.855600,2022-04-29 00:01:52.855600, Dynamic Status,10,2489,2,healthy
6,2022-04-29 00:01:53.926700,2022-04-29 00:01:54.209700, Dynamic Status,10,2489,2,tachycardia
7,2022-04-29 00:01:55.922900,2022-04-29 00:01:57.441000, Dynamic Status,10,2489,2,healthy
8,2022-04-29 00:01:58.383100,2022-04-29 00:01:58.583200, Dynamic Status,10,2489,2,tachycardia
9,2022-04-29 00:02:00.393300,2022-04-29 00:02:04.394700, Dynamic Status,10,2489,2,healthy
10,2022-04-29 00:02:04.598800,2022-04-29 00:02:04.599800, Event : OperationalState : OperationalState Idle : SubState SubStateOK,10,2489,2,tachycardia
11,2022-04-29 00:02:06.405900,2022-04-29 00:02:20.435300, Dynamic Status,10,2489,2,healthy
12,2022-04-29 00:02:20.744400,2022-04-29 00:02:20.990400, Initialize : Cmd 1005919 : Response,10,2489,2,tachycardia
13,2022-04-29 00:02:22.767600,2022-04-29 00:11:36.392900, Dynamic Status,10,2489,2,healthy
14,2022-04-29 00:11:37.382000,2022-04-29 00:11:37.658100, Initialize : Cmd 1005920 : Response,10,2489,2,tachycardia
15,2022-04-29 00:11:39.407200,2022-04-29 00:19:54.689800, Dynamic Status,10,2489,2,healthy
16,2022-04-29 00:19:55.658900,2022-04-29 00:19:56.692000, Event : Alert ActionId:0 Text:Odometer_m:859,10,2489,2,tachycardia
17,2022-04-29 00:19:58.692200,2022-04-29 01:19:54.797700, Dynamic Status,10,2489,2,healthy
18,2022-04-29 01:19:55.841800,2022-04-29 01:19:56.793900, Event : Alert ActionId:0 Text:Odometer_m:0,10,2489,2,tachycardia
19,2022-04-29 01:19:58.799100,2022-04-29 01:26:21.881400, Dynamic Status,10,2489,2,healthy
20,2022-04-29 01:26:22.787500,2022-04-29 01:26:24.636700, Initialize : Cmd 1005921 : Response,10,2489,2,tachycardia
21,2022-04-29 01:26:26.160900,2022-04-29 01:26:26.160900, Dynamic Status,10,2489,2,healthy
22,2022-04-29 01:26:27.659000,2022-04-29 01:26:35.031800, Dynamic Status,10,2489,2,tachycardia
23,2022-04-29 01:26:36.818900,2022-04-29 01:26:38.355100, Dynamic Status,10,2489,2,healthy
24,2022-04-29 01:26:39.075200,2022-04-29 01:26:49.874200, Dynamic Status,10,2489,2,tachycardia
25,2022-04-29 01:26:51.676400,2022-04-29 01:27:11.774400, Dynamic Status,10,2489,2,healthy
26,2022-04-29 01:27:12.589500,2022-04-29 01:27:13.959600, Event : Payload Status,10,2489,2,tachycardia
27,2022-04-29 01:27:15.775800,2022-04-29 01:27:15.775800, Dynamic Status,10,2489,2,healthy
