,InterestingEventTime,EventDescription,currentThreadID,BotNumber
4475,2022-04-29 00:00:00.946400, Dynamic Status,38,2427
4476,2022-04-29 00:00:02.944600, Dynamic Status,38,2427
4477,2022-04-29 00:00:04.944800, Dynamic Status,38,2427
4478,2022-04-29 00:00:06.956000, Dynamic Status,38,2427
4479,2022-04-29 00:00:08.945200, Dynamic Status,38,2427
4480,2022-04-29 00:00:10.955400, Dynamic Status,38,2427
4481,2022-04-29 00:00:12.955600, Dynamic Status,38,2427
4482,2022-04-29 00:00:14.955800, Dynamic Status,38,2427
4483,2022-04-29 00:00:16.966000, Dynamic Status,38,2427
4484,2022-04-29 00:00:18.956200, Dynamic Status,38,2427
4485,2022-04-29 00:00:20.965400, Dynamic Status,38,2427
4486,2022-04-29 00:00:22.967600, Dynamic Status,38,2427
4487,2022-04-29 00:00:24.975800, Dynamic Status,38,2427
4488,2022-04-29 00:00:26.977000, Dynamic Status,38,2427
4489,2022-04-29 00:00:28.965200, Dynamic Status,38,2427
4490,2022-04-29 00:00:30.976400, Dynamic Status,38,2427
4491,2022-04-29 00:00:32.986600, Dynamic Status,38,2427
4492,2022-04-29 00:00:34.985800, Dynamic Status,38,2427
4493,2022-04-29 00:00:36.977000, Dynamic Status,38,2427
4494,2022-04-29 00:00:38.977200, Dynamic Status,38,2427
4495,2022-04-29 00:00:40.987400, Dynamic Status,38,2427
4496,2022-04-29 00:00:42.997600, Dynamic Status,38,2427
4497,2022-04-29 00:00:44.996800, Dynamic Status,38,2427
4498,2022-04-29 00:00:46.997000, Dynamic Status,38,2427
4499,2022-04-29 00:00:48.997200, Dynamic Status,38,2427
4500,2022-04-29 00:00:50.997400, Dynamic Status,38,2427
4501,2022-04-29 00:00:53.007600, Dynamic Status,38,2427
4502,2022-04-29 00:00:55.006800, Dynamic Status,38,2427
4503,2022-04-29 00:00:57.007000, Dynamic Status,38,2427
4504,2022-04-29 00:00:59.007200, Dynamic Status,38,2427
4505,2022-04-29 00:01:01.017400, Dynamic Status,38,2427
4506,2022-04-29 00:01:03.017600, Dynamic Status,38,2427
4507,2022-04-29 00:01:05.017800, Dynamic Status,38,2427
4508,2022-04-29 00:01:07.018000, Dynamic Status,38,2427
4509,2022-04-29 00:01:09.018200, Dynamic Status,38,2427
4510,2022-04-29 00:01:11.018400, Dynamic Status,38,2427
4511,2022-04-29 00:01:13.028600, Dynamic Status,38,2427
