,InterestingEventTime,LastHealthyMoment,EventDescription,currentThreadID,BotNumber,RhythmTime,Health
0,2022-04-29 00:00:01.774500,2022-04-29 00:00:01.774500, Dynamic Status,8,2949,2,tachycardia
1,2022-04-29 00:00:03.775700,2022-04-29 00:02:20.092300, Dynamic Status,8,2949,2,healthy
2,2022-04-29 00:02:20.726400,2022-04-29 00:02:23.893700, Initialize : Cmd 1002511 : Response,8,2949,2,tachycardia
3,2022-04-29 00:02:25.399800,2022-04-29 00:02:25.399800, Dynamic Status,8,2949,2,healthy
4,2022-04-29 00:02:26.428900,2022-04-29 00:02:26.641000, Dynamic Status,8,2949,2,tachycardia
5,2022-04-29 00:02:28.435100,2022-04-29 00:02:30.444300, Dynamic Status,8,2949,2,healthy
6,2022-04-29 00:02:30.898400,2022-04-29 00:02:48.449100, Initialize : Cmd 1002513 : Response,8,2949,2,tachycardia
7,2022-04-29 00:02:49.959300,2022-04-29 00:02:49.959300, Dynamic Status,8,2949,2,healthy
8,2022-04-29 00:02:50.806400,2022-04-29 00:02:51.931500, Dynamic Status,8,2949,2,tachycardia
9,2022-04-29 00:02:53.730700,2022-04-29 00:02:57.728100, Dynamic Status,8,2949,2,healthy
10,2022-04-29 00:02:57.927100,2022-04-29 00:02:57.928100, Event : OperationalState : OperationalState Idle : SubState SubStateOK,8,2949,2,tachycardia
11,2022-04-29 00:02:59.751300,2022-04-29 00:11:37.203000, Dynamic Status,8,2949,2,healthy
12,2022-04-29 00:11:37.276000,2022-04-29 00:11:37.486000, Initialize : Cmd 1002518 : Response,8,2949,2,tachycardia
13,2022-04-29 00:11:39.303200,2022-04-29 00:18:28.454100, Dynamic Status,8,2949,2,healthy
14,2022-04-29 00:18:29.684300,2022-04-29 00:18:30.457300, Event : Alert ActionId:0 Text:Odometer_m:408,8,2949,2,tachycardia
15,2022-04-29 00:18:32.459500,2022-04-29 01:18:29.843200, Dynamic Status,8,2949,2,healthy
16,2022-04-29 01:18:30.041300,2022-04-29 01:18:30.240300, Event : Alert ActionId:0 Text:TurnCount:0,8,2949,2,tachycardia
17,2022-04-29 01:18:32.096500,2022-04-29 01:25:29.151200, Dynamic Status,8,2949,2,healthy
18,2022-04-29 01:25:29.345200,2022-04-29 01:25:32.601500, Dynamic Status,8,2949,2,tachycardia
19,2022-04-29 01:25:34.113700,2022-04-29 01:25:34.113700, Dynamic Status,8,2949,2,healthy
20,2022-04-29 01:25:35.556800,2022-04-29 01:25:44.591700, Dynamic Status,8,2949,2,tachycardia
21,2022-04-29 01:25:46.247900,2022-04-29 01:25:46.247900, Dynamic Status,8,2949,2,healthy
22,2022-04-29 01:25:46.443900,2022-04-29 01:25:52.197500, Dynamic Status,8,2949,2,tachycardia
23,2022-04-29 01:25:53.720600,2022-04-29 01:25:53.720600, Dynamic Status,8,2949,2,healthy
24,2022-04-29 01:25:54.152700,2022-04-29 01:26:03.645600, Dynamic Status,8,2949,2,tachycardia
25,2022-04-29 01:26:10.245300,2022-04-29 01:26:10.245300, Dynamic Status,8,2949,2,arrhythmia
26,2022-04-29 01:26:10.246300,2022-04-29 01:26:10.248300, Dynamic Status,8,2949,2,tachycardia
27,2022-04-29 01:26:11.896400,2022-04-29 01:26:25.996900, Dynamic Status,8,2949,2,healthy
28,2022-04-29 01:26:26.450900,2022-04-29 01:26:28.120100, Event : Payload Status,8,2949,2,tachycardia
29,2022-04-29 01:26:29.990200,2022-04-29 01:26:29.990200, Dynamic Status,8,2949,2,healthy
30,2022-04-29 01:26:30.366300,2022-04-29 01:26:41.792400, Dynamic Status,8,2949,2,tachycardia
31,2022-04-29 01:26:43.581600,2022-04-29 01:26:49.298200, Dynamic Status,8,2949,2,healthy
32,2022-04-29 01:26:49.510200,2022-04-29 01:26:49.719200, Event : OperationalState : OperationalState Active : SubState SubStateOK,8,2949,2,tachycardia
33,2022-04-29 01:26:51.595400,2022-04-29 01:26:53.113600, Dynamic Status,8,2949,2,healthy
34,2022-04-29 01:26:53.361600,2022-04-29 01:26:54.525700, Initialize : Cmd 1002529 : Response,8,2949,2,tachycardia
35,2022-04-29 01:26:56.529900,2022-04-29 01:26:56.529900, Dynamic Status,8,2949,2,healthy
36,2022-04-29 01:26:57.489000,2022-04-29 01:26:59.513200, Dynamic Status,8,2949,2,tachycardia
37,2022-04-29 01:27:01.351400,2022-04-29 01:27:01.351400, Initialize : Cmd 1002531 : Response,8,2949,2,healthy
38,2022-04-29 01:27:01.551400,2022-04-29 01:27:02.371500, Dynamic Status,8,2949,2,tachycardia
39,2022-04-29 01:27:04.184700,2022-04-29 01:27:04.184700, Dynamic Status,8,2949,2,healthy
40,2022-04-29 01:27:04.389700,2022-04-29 01:27:04.390700, Dynamic Status,8,2949,2,tachycardia
41,2022-04-29 01:27:06.352900,2022-04-29 01:27:06.352900, Dynamic Status,8,2949,2,healthy
42,2022-04-29 01:27:06.444900,2022-04-29 01:27:06.444900, Initialize : Cmd 1002532 : Response,8,2949,2,tachycardia
43,2022-04-29 01:27:08.358100,2022-04-29 01:27:08.358100, Dynamic Status,8,2949,2,healthy
44,2022-04-29 01:27:08.555100,2022-04-29 01:27:22.313500, Dynamic Status,8,2949,2,tachycardia
45,2022-04-29 01:27:23.836600,2022-04-29 01:27:27.353000, Dynamic Status,8,2949,2,healthy
46,2022-04-29 01:27:27.560000,2022-04-29 01:27:27.561000, Event : Action Status : AddWayPoint 1011902 : Status Completed,8,2949,2,tachycardia
47,2022-04-29 01:27:29.360200,2022-04-29 01:27:29.360200, Dynamic Status,8,2949,2,healthy
48,2022-04-29 01:27:30.133300,2022-04-29 01:27:33.214600, Dynamic Status,8,2949,2,tachycardia
49,2022-04-29 01:27:34.725700,2022-04-29 01:27:34.725700, Dynamic Status,8,2949,2,healthy
50,2022-04-29 01:27:35.524800,2022-04-29 01:27:36.617900, Dynamic Status,8,2949,2,tachycardia
51,2022-04-29 01:27:38.426100,2022-04-29 01:27:52.292500, Dynamic Status,8,2949,2,healthy
52,2022-04-29 01:27:52.493500,2022-04-29 01:27:56.735900, Event : Action Status : Place 1011905 : Status Drivable,8,2949,2,tachycardia
53,2022-04-29 01:27:58.745100,2022-04-29 01:27:58.745100, Dynamic Status,8,2949,2,healthy
54,2022-04-29 01:27:59.991200,2022-04-29 01:28:05.434800, Dynamic Status,8,2949,2,tachycardia
55,2022-04-29 01:28:06.962900,2022-04-29 01:28:06.962900, Dynamic Status,8,2949,2,healthy
56,2022-04-29 01:28:07.698000,2022-04-29 01:28:07.902000, Dynamic Status,8,2949,2,tachycardia
57,2022-04-29 01:28:09.699200,2022-04-29 01:29:07.865000, Dynamic Status,8,2949,2,healthy
58,2022-04-29 01:29:08.108100,2022-04-29 01:29:10.889300, Initialize : Cmd 1002539 : Response,8,2949,2,tachycardia
59,2022-04-29 01:29:12.410500,2022-04-29 01:29:12.410500, Dynamic Status,8,2949,2,healthy
60,2022-04-29 01:29:13.814600,2022-04-29 01:29:14.025700, Dynamic Status,8,2949,2,tachycardia
61,2022-04-29 01:29:15.827800,2022-04-29 01:29:17.612000, Dynamic Status,8,2949,2,healthy
62,2022-04-29 01:29:17.858000,2022-04-29 01:29:19.381200, Dynamic Status,8,2949,2,tachycardia
63,2022-04-29 01:29:20.885300,2022-04-29 01:29:20.885300, Dynamic Status,8,2949,2,healthy
64,2022-04-29 01:29:21.311400,2022-04-29 01:29:24.460700, Dynamic Status,8,2949,2,tachycardia
65,2022-04-29 01:29:26.262900,2022-04-29 01:29:48.337100, Dynamic Status,8,2949,2,healthy
66,2022-04-29 01:29:49.363200,2022-04-29 01:29:54.465700, Event : Payload Status,8,2949,2,tachycardia
67,2022-04-29 01:29:56.016900,2022-04-29 01:29:56.016900, Dynamic Status,8,2949,2,healthy
68,2022-04-29 01:29:57.457000,2022-04-29 01:29:58.046100, Dynamic Status,8,2949,2,tachycardia
69,2022-04-29 01:29:59.855200,2022-04-29 01:29:59.855200, Dynamic Status,8,2949,2,healthy
70,2022-04-29 01:30:00.242300,2022-04-29 01:30:01.877400, Dynamic Status,8,2949,2,tachycardia
71,2022-04-29 01:30:04.348700,2022-04-29 01:30:04.348700, Dynamic Status,8,2949,2,healthy
72,2022-04-29 01:30:04.557700,2022-04-29 01:30:05.792800, Dynamic Status,8,2949,2,tachycardia
73,2022-04-29 01:30:07.299000,2022-04-29 01:30:07.299000, Dynamic Status,8,2949,2,healthy
74,2022-04-29 01:30:07.873000,2022-04-29 01:30:08.056100, Dynamic Status,8,2949,2,tachycardia
75,2022-04-29 01:30:09.853200,2022-04-29 01:30:15.902800, Dynamic Status,8,2949,2,healthy
76,2022-04-29 01:30:17.033000,2022-04-29 01:30:17.913000, Event : Action Status : Place 1011917 : Status Drivable,8,2949,2,tachycardia
77,2022-04-29 01:30:19.920200,2022-04-29 01:30:19.920200, Dynamic Status,8,2949,2,healthy
78,2022-04-29 01:30:21.371400,2022-04-29 01:30:21.915400, Event : Payload Status,8,2949,2,tachycardia
79,2022-04-29 01:30:23.915600,2022-04-29 01:30:29.943200, Dynamic Status,8,2949,2,healthy
80,2022-04-29 01:30:31.276400,2022-04-29 01:30:31.690400, Initialize : Cmd 1002544 : Response,8,2949,2,tachycardia
81,2022-04-29 01:30:33.280600,2022-04-29 01:30:33.280600, Initialize : Cmd 1002545 : Response,8,2949,2,healthy
82,2022-04-29 01:30:33.483600,2022-04-29 01:30:35.624800, Event : OperationalState : OperationalState Active : SubState SubStateOK,8,2949,2,tachycardia
83,2022-04-29 01:30:37.140000,2022-04-29 01:30:37.140000, Dynamic Status,8,2949,2,healthy
84,2022-04-29 01:30:38.027100,2022-04-29 01:30:39.978200, Dynamic Status,8,2949,2,tachycardia
85,2022-04-29 01:30:41.780400,2022-04-29 01:30:41.780400, Dynamic Status,8,2949,2,healthy
86,2022-04-29 01:30:42.609500,2022-04-29 01:30:42.815500, Dynamic Status,8,2949,2,tachycardia
87,2022-04-29 01:30:44.611700,2022-04-29 01:30:44.611700, Dynamic Status,8,2949,2,healthy
88,2022-04-29 01:30:46.076900,2022-04-29 01:30:46.479900, Dynamic Status,8,2949,2,tachycardia
89,2022-04-29 01:30:49.860200,2022-04-29 01:30:49.860200, Event : OperationalState : OperationalState Active : SubState SubStateOK,8,2949,2,arrhythmia
90,2022-04-29 01:30:49.861200,2022-04-29 01:30:50.261300, Event : Action Status : AddWayPoint 1011931 : Status Started,8,2949,2,tachycardia
91,2022-04-29 01:30:52.170500,2022-04-29 01:30:56.185900, Dynamic Status,8,2949,2,healthy
